title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Technical Program Manager,https://www.naukri.com/job-listings-technical-program-manager-microsoft-india-r-and-d-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-7-years-020124501261,https://img.naukimg.com/logo_images/groups/v1/614576.gif,Microsoft,https://www.naukri.com/microsoft-jobs-careers-2265,https://www.ambitionbox.com/reviews/microsoft-corporation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1372  Reviews,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The Sovereign Platform Team is the Microsoft engineering team that builds the platform ...,Interpersonal skills,Product service,Analytical,Agile development,Cloud,microsoft,Project delivery,Continuous improvement,28 Days Ago
nCino Solution Architect / Lead,https://www.naukri.com/job-listings-ncino-solution-architect-lead-cloudely-india-hyderabad-telangana-pune-maharashtra-bengaluru-karnataka-7-to-12-years-310124008509,,Cloudely India,https://www.naukri.com/cloudely-india-jobs-careers-5951538,https://www.ambitionbox.com/reviews/cloudely-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.7,5  Reviews,7-12 Yrs,Not disclosed,"Hyderabad, Telangana, Pune, Maharashtra, Bengaluru, Karnataka","Position Overview:As a nCino Solution Architect, you will play an integral role design...",Ncino,Salesforce Lightning,Salesforce,Lightning,Leadership,Architecture,,,Just Now
Dot Net Technical Lead,https://www.naukri.com/job-listings-dot-net-technical-lead-fifthgen-tech-solution-pune-maharashtra-bengaluru-5-to-10-years-310124007308,,Fifthgen Tech Solution,https://www.naukri.com/fifthgen-tech-solution-jobs-careers-6817403,,,,5-10 Yrs,18-30 Lacs PA,"Hybrid - Pune, Maharashtra, Bengaluru","Demonstrated experience in developing solutions using Azure Services (Azure Functions, ...",dot net,ASP.Net,azure,Microsoft Azure,.Net,DoT,Technical,,Few Hours Ago
Job Opportunities For Technical Delivery Manager,https://www.naukri.com/job-listings-for-technical-delivery-manager-kanini-software-solutions-pune-maharashtra-chennai-bengaluru-10-to-15-years-310124005734,https://img.naukri.com/logo_images/v3/551451.gif,Kanini Software Solutions,https://www.naukri.com/kanini-solutions-jobs-careers-551451,https://www.ambitionbox.com/reviews/kanini-software-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,176  Reviews,10-15 Yrs,17-22.5 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Bengaluru",Technical Delivery ManagerWant to join KANINI?We are looking for someone who can lead a...,Team Handling,scrum,agile,Delivery Manager,Technical Delivery,Delivery management,Technical,Team,Few Hours Ago
Project Manager,https://www.naukri.com/job-listings-project-manager-expleo-group-pune-bangalore-bengaluru-12-to-15-years-230124501550,https://img.naukimg.com/logo_images/groups/v1/4666991.gif,Expleo,https://www.naukri.com/expleo-jobs-careers-7583,https://www.ambitionbox.com/reviews/expleo-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,255  Reviews,12-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Work with all the stakeholders to assemble teams, define scope, identify success cr...",Computer science,Project management,Manager Program Management,Agile,Software development life cycle,Project delivery,Stakeholder management,automotive infotainment,7 Days Ago
Senior Project/Program Manager,https://www.naukri.com/job-listings-senior-project-program-manager-ptc-software-india-pune-5-to-7-years-240124010050,https://img.naukimg.com/logo_images/groups/v1/162646.gif,PTC,https://www.naukri.com/ptc-jobs-careers-3211,https://www.ambitionbox.com/reviews/ptc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,425  Reviews,5-7 Yrs,Not disclosed,Pune,This role will be of Scrum Master and may manage . releases for productsKeen interest i...,execution,project management,confluence,analytical,smartsheet,ms project,program management,qlik,7 Days Ago
Project Management Analyst ( NCT ),https://www.naukri.com/job-listings-project-management-analyst-nct-deutsche-bank-ag-pune-business-bay-3-to-5-years-230124907529,https://img.naukimg.com/logo_images/groups/v1/468918.gif,Deutsche Bank,https://www.naukri.com/deutsche-bank-jobs-careers-39012,https://www.ambitionbox.com/reviews/deutsche-bank-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2798  Reviews,3-5 Yrs,Not disclosed,"Pune, Business Bay",Role Description Project Management & Change Execution is responsible for delivery of t...,Project Management,Change management,Agile,Transition,Process re-engineering,Project,Re-engineering,Change,8 Days Ago
Technical Project Manager,https://www.naukri.com/job-listings-technical-project-manager-philips-india-limited-pune-10-to-12-years-230124502338,https://img.naukimg.com/logo_images/groups/v1/13254.gif,Philips,https://www.naukri.com/philips-jobs-careers-929,https://www.ambitionbox.com/reviews/philips-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,1351  Reviews,10-12 Yrs,Not disclosed,Pune,Leading the execution of large-scale projects that drive global sourcing strategies ...,EMI,Product launch,PMP,Change management,Project management,Healthcare,WBS,EMC,7 Days Ago
Project Engineer I,https://www.naukri.com/job-listings-project-engineer-i-honeywell-pune-3-to-5-years-230124502162,https://img.naukri.com/logo_images/v3/763442.gif,Honeywell,https://www.naukri.com/honeywell-jobs-careers-491667,https://www.ambitionbox.com/reviews/honeywell-automation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,1352  Reviews,3-5 Yrs,Not disclosed,Pune,Candidate shall be responsible for project engineering activities related to pro...,Material management,Supply chain,SAP,RF,Networking,Project management,Packaging,Instrumentation,7 Days Ago
Technical Product Manager / Scrum Master,https://www.naukri.com/job-listings-technical-product-manager-scrum-master-deutsche-bank-ag-pune-margarpatta-3-to-8-years-220124906764,https://img.naukimg.com/logo_images/groups/v1/468918.gif,Deutsche Bank,https://www.naukri.com/deutsche-bank-jobs-careers-39012,https://www.ambitionbox.com/reviews/deutsche-bank-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2798  Reviews,3-8 Yrs,Not disclosed,"Pune, Margarpatta",The scrum master''s responsibilities include ensuring that development teams follow scr...,Technical Product Management,project management,product management,team management,scrum master,kanban,progress monitoring,team building,8 Days Ago
Advanced Project Engr,https://www.naukri.com/job-listings-advanced-project-engr-honeywell-pune-5-to-6-years-220124501902,https://img.naukri.com/logo_images/v3/763442.gif,Honeywell,https://www.naukri.com/honeywell-jobs-careers-491667,https://www.ambitionbox.com/reviews/honeywell-automation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,1352  Reviews,5-6 Yrs,Not disclosed,Pune,YOU MUST HAVE . At least 5+ years of experience in Simulation for refining / petrochemi...,Fabrication,Engineering services,Plant operations,Aerospace,Heat exchangers,Refinery,VB,Petrochemical,8 Days Ago
Senior Manager,https://www.naukri.com/job-listings-senior-manager-vodafone-india-services-pvt-ltd-pune-10-to-14-years-200124906896,https://img.naukri.com/logo_images/v3/647435.gif,_VOIS,https://www.naukri.com/vois-jobs-careers-539,https://www.ambitionbox.com/reviews/vodafone-intelligent-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,446  Reviews,10-14 Yrs,Not disclosed,Pune,Lean six sigma. RPA certification. Digital transformation certifications . Bachelors in...,Robotic Process Automation,Process design,Lean,six sigma,System integration,OCR,Senior management,Design,10 Days Ago
