title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Assistant Manufacturing Manager,https://www.naukri.com/job-listings-assistant-manufacturing-manager-godrej-boyce-g-b-dahej-gujarat-3-to-8-years-160124003267,https://img.naukimg.com/logo_images/groups/v1/944.gif,Godrej & Boyce (G&B),https://www.naukri.com/godrej-boyce-g-b-jobs-careers-476,https://www.ambitionbox.com/reviews/godrej-and-boyce-manufacturing-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,2910  Reviews,3-8 Yrs,Not disclosed,"Dahej, Gujarat",Role & responsibilities:1) Throughput Contribution2) Capital Efficiency 3) Improvements...,Heat Exchangers,ASME Codes,Pressure Vessels,Shop Floor Management,Manpower Handling,ASME,Exchangers,Handling,15 Days Ago
Manager - Analytical Development,https://www.naukri.com/job-listings-manager-analytical-development-pfizer-chennai-tamil-nadu-5-to-10-years-100124004639,https://img.naukimg.com/logo_images/groups/v1/233602.gif,Pfizer,https://www.naukri.com/pfizer-jobs-careers-15878,https://www.ambitionbox.com/reviews/pfizer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,1719  Reviews,5-10 Yrs,Not disclosed,"Chennai, Tamil Nadu",Organisation of reference standard and working standard as requiredMinimum Qualificatio...,Analytical Development,HPLC,Method Development,Management,Methods,Development,Analytical,Analytics,6 Days Ago
Process Engineer Scientist,https://www.naukri.com/job-listings-process-engineer-scientist-pfizer-chennai-tamil-nadu-8-to-12-years-100124004635,https://img.naukimg.com/logo_images/groups/v1/233602.gif,Pfizer,https://www.naukri.com/pfizer-jobs-careers-15878,https://www.ambitionbox.com/reviews/pfizer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,1719  Reviews,8-12 Yrs,Not disclosed,"Chennai, Tamil Nadu","Develop knowledge and experience of chemical reaction hazards, engineering principles a...",Process Engineering,Engineering,Process,,,,,,6 Days Ago
Senior Manager - Ops Lead Jamshedpur,https://www.naukri.com/job-listings-senior-manager-ops-lead-jamshedpur-1mg-jamshedpur-jharkhand-6-to-11-years-081223004795,https://img.naukimg.com/logo_images/groups/v1/2016162.gif,1mg,https://www.naukri.com/1mg-jobs-careers-2536620,https://www.ambitionbox.com/reviews/1mg-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,914  Reviews,6-11 Yrs,Not disclosed,"Jamshedpur, Jharkhand","Participate in administrative, nursing, clinical staff meetings and also serve on the v...",Inventory Management,Pharmacy,P&L MANAGEMENT,Supply Chain Management,SCM,Procurement Planning,Key Account Management,Supply Chain Operations,7 Days Ago
Medical Representative For Nellore,https://www.naukri.com/job-listings-medical-representative-for-nellore-torrent-pharmaceuticals-nellore-andhra-pradesh-0-to-5-years-060124006842,https://img.naukimg.com/logo_images/groups/v1/275530.gif,Torrent Pharmaceuticals,https://www.naukri.com/torrent-pharmaceuticals-jobs-careers-1279,https://www.ambitionbox.com/reviews/torrent-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,2230  Reviews,0-5 Yrs,Not disclosed,Remote,Any graduate with minimum 1 year relevant Exp - Below 30Yrs. Fresher - BSc / MSc / B Ph...,Sales And Marketing,Pharma Selling,MR,Ortho,Gynecology,Field Sales,Medical representative,Pharmaceutical Sales,24 Days Ago
Medical Representative For Rajkot,https://www.naukri.com/job-listings-medical-representative-for-rajkot-torrent-pharmaceuticals-rajkot-gujarat-0-to-5-years-060124006839,https://img.naukimg.com/logo_images/groups/v1/275530.gif,Torrent Pharmaceuticals,https://www.naukri.com/torrent-pharmaceuticals-jobs-careers-1279,https://www.ambitionbox.com/reviews/torrent-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,2230  Reviews,0-5 Yrs,Not disclosed,Remote,Any graduate with minimum 1 year relevant Exp - Below 30Yrs. Fresher - BSc / MSc B Phar...,Sales And Marketing,Pharma Selling,MR,Ortho,Gynecology,Field Sales,Medical representative,Pharmaceutical Sales,24 Days Ago
Medical Representative For Ahmedabad,https://www.naukri.com/job-listings-medical-representative-for-ahmedabad-torrent-pharmaceuticals-ahmedabad-0-to-5-years-060124006826,https://img.naukimg.com/logo_images/groups/v1/275530.gif,Torrent Pharmaceuticals,https://www.naukri.com/torrent-pharmaceuticals-jobs-careers-1279,https://www.ambitionbox.com/reviews/torrent-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,2230  Reviews,0-5 Yrs,Not disclosed,Remote,Any graduate with minimum 1 year relevant Exp - Below 30Yrs. Fresher - BSc / MSc / B Ph...,Sales And Marketing,Pharma Selling,MR,Ortho,Gynecology,Field Sales,Medical representative,Pharmaceutical Sales,24 Days Ago
Medical Representative,https://www.naukri.com/job-listings-medical-representative-torrent-pharmaceuticals-dibrugarh-assam-0-to-5-years-060124006777,https://img.naukimg.com/logo_images/groups/v1/275530.gif,Torrent Pharmaceuticals,https://www.naukri.com/torrent-pharmaceuticals-jobs-careers-1279,https://www.ambitionbox.com/reviews/torrent-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,2230  Reviews,0-5 Yrs,Not disclosed,Remote,Any graduate with minimum 1 year relevant Exp - Below 30Yrs. Fresher - BSc / MSc / B Ph...,Sales And Marketing,Pharma Selling,MR,Ortho,Gynecology,Field Sales,Medical representative,Pharmaceutical Sales,24 Days Ago
Sr Mgr Section/API Facility- Gajraula,https://www.naukri.com/job-listings-sr-mgr-section-api-facility-gajraula-teva-pharmaceuticals-amroha-uttar-pradesh-15-to-23-years-031123005384,https://img.naukimg.com/logo_images/groups/v1/4191006.gif,Teva Pharmaceuticals,https://www.naukri.com/teva-pharmaceuticals-jobs-careers-136948,https://www.ambitionbox.com/reviews/teva-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,722  Reviews,15-23 Yrs,Not disclosed,"Amroha, Uttar Pradesh","Wherever possible, we should bring through the essence of our EVP pillars, i.e., we car...",Production,API,Team Management,Audit,GMP,Management,Facilities,Team,8 Days Ago
RS - Form Dev (Parenterals / Opthalmic / Otics / Inhalation),https://www.naukri.com/job-listings-rs-form-dev-parenterals-opthalmic-otics-inhalation-mankind-pharma-manesar-4-to-8-years-031120003702,https://www.naukri.com/hotjobs/images/v3/mankind1.gif,Mankind Pharma,https://www.naukri.com/mankind-pharma-jobs-careers-15478,https://www.ambitionbox.com/reviews/mankind-pharma-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2109  Reviews,4-8 Yrs,Not disclosed,Manesar,Roles and Responsibilities  Literature search and patent search. Selection of API sourc...,Opthalmic,Anda,Otic,Inhalation,parenteral,Dev,,,13 Days Ago
Executive Engineering,https://www.naukri.com/job-listings-executive-engineering-emcure-jammu-jammu-kashmir-5-to-8-years-021223006733,https://img.naukimg.com/logo_images/groups/v1/431460.gif,Emcure,https://www.naukri.com/emcure-jobs-careers-14826,https://www.ambitionbox.com/reviews/emcure-pharmaceuticals-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,1726  Reviews,5-8 Yrs,4-7 Lacs PA,"Jammu, Jammu & Kashmir",Execution and Supervision of Engineering department activity and assuring that activity...,Documentation,Engineering,,,,,,,8 Days Ago
PGET/GET Mech - Satven,https://www.naukri.com/job-listings-pget-get-mech-satven-satven-chennai-0-to-1-years-120124005258,https://img.naukimg.com/logo_images/groups/v1/233806.gif,Satven,https://www.naukri.com/satven-jobs-careers-6129,https://www.ambitionbox.com/reviews/satyam-venture-engineering-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,378  Reviews,0-1 Yrs,3.25-3.5 Lacs PA,Chennai,We have a requirement for POST GRADUATE ENGINEER TRAINEE (PGET / GET Mechanical) for Ch...,Design,CATIA,UG NX,NX,UG,,,,19 Days Ago
Walk -in |  Hiring Pharmacist,https://www.naukri.com/job-listings-walk-in-hiring-pharmacist-max-healthcare-gurugram-haryana-0-to-2-years-090124007742,https://www.naukri.com/hotjobs/images/v3/max_oct21.gif,Max Healthcare,https://www.naukri.com/max-healthcare-jobs-careers-83400,https://www.ambitionbox.com/reviews/max-healthcare-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2045  Reviews,,Not disclosed,,Minimum Experience- 1 Year,Pharmacy,pharmacist,Hiring,,,,,,22 Days Ago
Senior Principal Scientist - Discovery Science,https://www.naukri.com/job-listings-senior-principal-scientist-discovery-science-novartis-healthcare-pvt-ltd-hyderabad-secunderabad-6-to-10-years-300124501809,https://img.naukimg.com/logo_images/groups/v1/4613591.gif,Novartis,https://www.naukri.com/novartis-jobs-careers-5331,https://www.ambitionbox.com/reviews/novartis-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,1387  Reviews,6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"Experience with enzymology, kinetics and mode of action studies a plus . A mind-set of ...",CRO,Data analysis,SPR,Pharma,Project management,Healthcare,Manager Quality Control,Outsourcing,1 Day Ago
Technical Market Analysis - Senior Manager,https://www.naukri.com/job-listings-technical-market-analysis-senior-manager-pepsi-foods-priv-limited-hyderabad-secunderabad-7-to-9-years-290124501197,https://img.naukimg.com/logo_images/groups/v1/4657369.gif,Pepsi Foods,https://www.naukri.com/pepsi-foods-jobs-careers-3591376,https://www.ambitionbox.com/reviews/pepsico-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,2243  Reviews,7-9 Yrs,Not disclosed,Hyderabad/Secunderabad,"Oversee and manage scientific, market, and consumer secondary research and analysis syn...",Market analysis,Nutrition,Food technology,Business research,Pharma,Packaging,Market research,Healthcare,1 Day Ago
IPR - Executive,https://www.naukri.com/job-listings-ipr-executive-aurobindo-pharma-hyderabad-secunderabad-3-to-6-years-190823005383,https://img.naukimg.com/logo_images/groups/v1/250854.gif,Aurobindo Pharma,https://www.naukri.com/aurobindo-pharma-jobs-careers-17320,https://www.ambitionbox.com/reviews/aurobindo-pharma-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,4372  Reviews,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Preferred candidate profile . .,Patent Analysis,Patents,Formulation,intellectual property rights,Infringement Analysis,FTO,Patent Search,Intellectual Property Management,27 Days Ago
Analyst  - GCMS / LCMS,https://www.naukri.com/job-listings-analyst-gcms-lcms-sipra-labs-hyderabad-secunderabad-2-to-7-years-160124003763,https://img.naukimg.com/logo_images/groups/v1/4629489.gif,Sipra Labs,https://www.naukri.com/sipra-labs-jobs-careers-839253,https://www.ambitionbox.com/reviews/sipra-labs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.1,65  Reviews,2-7 Yrs,3.5-8.5 Lacs PA,Hyderabad/Secunderabad(Sanath Nagar),". Hands-on Experience in LCMS, GCMS analysis Pharma/ Drugs/ Food/ Bio-pharma / Argo Pro...",GC-MS,LCMS,Validation,GDP,Icp-Ms,Mass Spectrometry,Analytical Method Development,Analysis,15 Days Ago
Sr Mechanical Design Engineer,https://www.naukri.com/job-listings-sr-mechanical-design-engineer-india-medtronic-pvt-ltd-hyderabad-secunderabad-8-to-12-years-120124500274,https://img.naukimg.com/logo_images/groups/v1/722108.gif,Medtronic,https://www.naukri.com/medtronic-jobs-careers-251888,https://www.ambitionbox.com/reviews/medtronic-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,449  Reviews,8-12 Yrs,Not disclosed,Hyderabad/Secunderabad,. Should maintain accountability and successfully deliver projects / tasks assignedBach...,PLM,Product engineering,Change management,ISO 13485,Manufacturing process,Analytical,CAD,PPAP,18 Days Ago
Mech Design Engr II,https://www.naukri.com/job-listings-mech-design-engr-ii-honeywell-hyderabad-secunderabad-3-to-5-years-110124500463,https://img.naukri.com/logo_images/v3/763442.gif,Honeywell,https://www.naukri.com/honeywell-jobs-careers-491667,https://www.ambitionbox.com/reviews/honeywell-automation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,1352  Reviews,3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"You co-operate with internal departments such as program and application management, qu...",Procurement,Solid mechanics,Manufacturing process,Sheet metal,Analytical,Value engineering,Manufacturing engineering,Packaging,19 Days Ago
"Formulation Analytical Research Associate (FARD) - Eugia I,",https://www.naukri.com/job-listings-formulation-analytical-research-associate-fard-eugia-i-aurobindo-pharma-hyderabad-secunderabad-3-to-7-years-090523005692,https://img.naukimg.com/logo_images/groups/v1/250854.gif,Aurobindo Pharma,https://www.naukri.com/aurobindo-pharma-jobs-careers-17320,https://www.ambitionbox.com/reviews/aurobindo-pharma-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,4372  Reviews,3-7 Yrs,3-5.5 Lacs PA,Hyderabad/Secunderabad,"Required Experience is 3years to 8 years in Formulation Analysis (OSD, Injectable or Bo...",Formulation Analytical Research,Method validation,Analytical Method Development,GC,HPLC,stability studies,analytical research,Development,28 Days Ago
