title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
UI/UX Designer,https://www.naukri.com/job-listings-ui-ux-designer-app-incubator-inc-hyderabad-secunderabad-3-to-8-years-090124501537,,AppIncubator,https://www.naukri.com/appincubator-jobs-careers-123569309,https://www.ambitionbox.com/reviews/zazz-it-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,49  Reviews,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,". Bachelors degree in Design, or a related field (or equivalent practical experience)Cr...",IT services,User research,SAN,Head Business Development,SOC,SMS,Adobe,Usability testing,21 Days Ago
UI/UX Designer,https://www.naukri.com/job-listings-ui-ux-designer-zazz-hyderabad-secunderabad-3-to-8-years-090124500496,,Zazz,https://www.naukri.com/zazz-jobs-careers-124033692,,,,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,". Bachelors degree in Design, or a related field (or equivalent practical experience)Cr...",IT services,User research,SAN,Head Business Development,SOC,Adobe,Usability testing,CRM,21 Days Ago
Web Designer - UI / UX Engineer,https://www.naukri.com/job-listings-web-designer-ui-ux-engineer-coepd-hyderabad-secunderabad-2-to-3-years-080124500880,https://img.naukimg.com/logo_images/groups/v1/2929802.gif,Coepd,https://www.naukri.com/coepd-jobs-careers-3660194,https://www.ambitionbox.com/reviews/coepd-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.3,23  Reviews,2-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Bachelor Degree in Computer Science, Information Technology or related field . Ability ...",jQuery,Illustrator,Analytical,Javascript,Product design,Project delivery,Information technology,Fireworks,22 Days Ago
Graphic Designer,https://www.naukri.com/job-listings-graphic-designer-sudhakar-pvc-products-hyderabad-secunderabad-telangana-3-to-7-years-071023007180,,Sudhakar Pvc Products,https://www.naukri.com/sudhakar-pvc-products-jobs-careers-123979445,https://www.ambitionbox.com/reviews/sudhakar-pvc-products-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,4  Reviews,3-7 Yrs,4-5 Lacs PA,"Hyderabad/ Secunderabad, Telangana",Preferred candidate profile Proven Graphic Designing Experience Good Communication Skills,Illustrator,Corel Draw,Photoshop,After Effects,Premiere Pro,3D Software,Indesign,Graphics,22 Days Ago
3D Artist | Hyderabad Location,https://www.naukri.com/job-listings-3d-artist-hyderabad-location-concoct-human-resource-practioners-india-hyderabad-secunderabad-0-to-0-years-060123910453,,Concoct Human Resource Practioners India,https://www.naukri.com/concoct-human-resource-practioners-india-jobs-careers-843997,,,,0-0 Yrs,1.75-2.5 Lacs PA,Hyderabad/Secunderabad(Somajiguda),3D Artist focuses on providing support with related to 3D design and animations aspects...,3D Maya,Texturing,3D Modeling,Unity3D,Rendering,Lighting,Generalist Profile,3D Animation,20 Days Ago
"Staff Product Designer, Legal Service Delivery",https://www.naukri.com/job-listings-staff-product-designer-legal-service-delivery-service-now-planet-hyderabad-secunderabad-7-to-9-years-050124500906,,Service Now Planet,https://www.naukri.com/service-now-planet-jobs-careers-3114516,https://www.ambitionbox.com/reviews/snow-planet-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,5,3  Reviews,7-9 Yrs,Not disclosed,Hyderabad/Secunderabad,Experience participating in the complete product development lifecycle of web and / or ...,Product management,Service delivery,Web technologies,Corporate,Workflow,Product design,Research,User experience design,25 Days Ago
Instructional Designer,https://www.naukri.com/job-listings-instructional-designer-epiq-systems-inc-hyderabad-secunderabad-4-to-6-years-050124500138,https://img.naukimg.com/logo_images/groups/v1/4682085.gif,"Epiq Systems, Inc.",https://www.naukri.com/epiq-systems-jobs-careers-2701344,https://www.ambitionbox.com/reviews/epiq-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,166  Reviews,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Computer proficiency . P . erform need analysis . Bloom s taxonomy . Learning and train...,Training,MS Office suite,E-learning,Administration,LMS,Video editing,HTML,Manager Quality Control,26 Days Ago
UI Developer - React.js/Node.js,https://www.naukri.com/job-listings-ui-developer-react-js-node-js-carbynetech-india-hyderabad-secunderabad-4-to-9-years-040124906830,,CARBYNETECH,https://www.naukri.com/carbynetech-jobs-careers-123597191,https://www.ambitionbox.com/reviews/carbynetech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,24  Reviews,4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,"Experience : Minimum 3+ years- experience required. - Javascript, Typescript, the DOM, ...",UI development,NoSQL,UI,HTML5,Javascript,Bootstrap,Node.js,React.js,27 Days Ago
Graphics Designer,https://www.naukri.com/job-listings-graphics-designer-hesten-solutions-nagpur-hyderabad-secunderabad-chennai-1-to-6-years-040124502101,,Hesten Solutions,https://www.naukri.com/hesten-solutions-jobs-careers-6938381,https://www.ambitionbox.com/reviews/hesten-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.6,2  Reviews,1-6 Yrs,Not disclosed,"Nagpur, Hyderabad/Secunderabad, Chennai",Qualifications and Experience . Experience: ( 1+ Years ) . .,Graphics,Project implementation,Art Director,Project Director,Corporate,Scheduling,Budgeting,Art,26 Days Ago
Brand Designer,https://www.naukri.com/job-listings-brand-designer-the-reform-design-hyderabad-secunderabad-2-to-5-years-040124502006,,The Reform Design,https://www.naukri.com/the-reform-design-jobs-careers-4713938,https://www.ambitionbox.com/reviews/trd-studios-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.7,21  Reviews,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Bachelor s degree in Graphic Design, Visual Communication, or a related field 2-5 years...",Graphic designing,Software design,PDF,Intern,Illustrator,adobe creative suite,Social media,Brand communication,26 Days Ago
Interior Designer,https://www.naukri.com/job-listings-interior-designer-decorpot-hyderabad-secunderabad-1-to-3-years-030723003365,,Decorpot,https://www.naukri.com/decorpot-jobs-careers-2774478,https://www.ambitionbox.com/reviews/decorpot-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,85  Reviews,1-3 Yrs,2.75-3.5 Lacs PA,Hyderabad/Secunderabad(Kompally),Job Title:Interior DesignerQualification:B Arch / M Arch or Bachelors degree in Interi...,residential,AutoCAD,sketchup,VRAY,Interior Designing,3d,AutoCAD 3D,Interiors,18 Days Ago
Instructional Designer,https://www.naukri.com/job-listings-instructional-designer-insightsoftware-hyderabad-secunderabad-2-to-5-years-030124500781,https://img.naukimg.com/logo_images/groups/v1/6878171.gif,Insightsoftware,https://www.naukri.com/insightsoftware-jobs-careers-2674716,https://www.ambitionbox.com/reviews/insightsoftware-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.1,46  Reviews,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Experience: . A minimum of 3 years of instructional design and development experience, ...",E-learning,Financial reporting,Technical writing,Instructional design,Video editing,Taxation,Information management,Management,27 Days Ago
Graphic Designer & Consultant,https://www.naukri.com/job-listings-graphic-designer-consultant-nrg-foods-pvt-ltd-hyderabad-secunderabad-6-to-11-years-020124501784,,NRG Foods,https://www.naukri.com/nrg-foods-jobs-careers-4951174,https://www.ambitionbox.com/reviews/nrg-foods-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,2  Reviews,6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,"Experience with design software Adobe Photo Shop, Illustrator or coral draw, Sketch, In...",Graphics,Graphic designing,Illustrator,Corporate identity,Conceptualization,Packaging,HTML,FMCG,28 Days Ago
UI / UX Designer,https://www.naukri.com/job-listings-ui-ux-designer-ispatial-techno-solutions-pvt-ltd-hyderabad-secunderabad-1-to-2-years-020124501215,https://img.naukimg.com/logo_images/groups/v1/4604191.gif,iSpatial Techno Solutions Pvt Ltd.,https://www.naukri.com/ispatial-techno-jobs-careers-2150204,https://www.ambitionbox.com/reviews/ispatial-techno-solutions-pvt-ltd-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,20  Reviews,1-2 Yrs,Not disclosed,Hyderabad/Secunderabad,Proven work experience as a UI / UX Designer or similar roleExperience: 1 to 2+ years o...,Computer science,Basic,Illustrator,Tool design,Manager Technology,HTML,Web designing,bootstrap,28 Days Ago
UI & UX Designer,https://www.naukri.com/job-listings-ui-ux-designer-bitronics-hyderabad-secunderabad-2-to-5-years-040124501514,,Bitronics,https://www.naukri.com/bitronics-jobs-careers-123885693,,,,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Proven work experience as a UI / UX Designer or similar role and a portfolio of designs...,Usage,Web technologies,Incharge,Illustrator,Time management,HTML,Photoshop,IOS,26 Days Ago
Principal Design Manager,https://www.naukri.com/job-listings-principal-design-manager-microsoft-india-r-and-d-pvt-ltd-hyderabad-secunderabad-5-to-7-years-020124501288,https://img.naukimg.com/logo_images/groups/v1/614576.gif,Microsoft,https://www.naukri.com/microsoft-jobs-careers-2265,https://www.ambitionbox.com/reviews/microsoft-corporation-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1372  Reviews,5-7 Yrs,Not disclosed,Hyderabad/Secunderabad,. Resume must include a link to design . portfolio .  . You ll have the opportunity to ...,Prototype,Creative direction,Industrial design,Interaction design,Product planning,Product design,Research,microsoft,28 Days Ago
