title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Network Automation CTA,https://www.naukri.com/job-listings-network-automation-cta-nokia-solutions-and-networks-india-p-ltd-bangalore-bengaluru-3-to-6-years-150124501047,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree or higher in Computer Science, Telecom, Software Engineering, or equiv...",Unix,Telecom,Linux,XML,MySQL,Javascript,Perl,Oracle,15 Days Ago
Hardware Design (Analog and Digital Circuit Design),https://www.naukri.com/job-listings-hardware-design-analog-and-digital-circuit-design-bosch-global-software-technologies-bengaluru-5-to-9-years-150124000557,https://img.naukri.com/logo_images/v3/121866.gif,Bosch Global Software Technologies,https://www.naukri.com/bosch-global-technologies-jobs-careers-121866,https://www.ambitionbox.com/reviews/bosch-global-software-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,3524  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Experience in actuator and motor control circuit design (BDC, BLDC, stepper)GoodTeam Pl...",Hardware Design,Analog Circuit Design,Microcontroller,Digital Circuit Design,Design,Analog,Analog Circuit,Circuit,16 Days Ago
Hardware Architect (Analog and Digital Circuit Design),https://www.naukri.com/job-listings-hardware-architect-analog-and-digital-circuit-design-bosch-global-software-technologies-bengaluru-9-to-13-years-150124000545,https://img.naukri.com/logo_images/v3/121866.gif,Bosch Global Software Technologies,https://www.naukri.com/bosch-global-technologies-jobs-careers-121866,https://www.ambitionbox.com/reviews/bosch-global-software-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,3524  Reviews,9-13 Yrs,Not disclosed,Bengaluru,"Responsibilities:Evaluation of all Customer/System requirements, deriving Hardware Req...",Hardware Design,Analog Circuit Design,Microcontroller,Digital Circuit Design,Architecture,Digital design,Analog Circuit,Analog,16 Days Ago
SaaS Support Engineer,https://www.naukri.com/job-listings-saas-support-engineer-ibm-india-pvt-limited-kochi-cochin-bangalore-bengaluru-1-to-4-years-130124906363,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,1-4 Yrs,Not disclosed,"Kochi/Cochin, Bangalore/Bengaluru","Your Role and ResponsibilitiesIn this role, you will work directly with the customers I...",Procurement,IT management,Technical support,Android,System administration,Customer life cycle management,Ticketing,Standard operating procedures,17 Days Ago
Wi-Fi CPE Testing and Support Engineer,https://www.naukri.com/job-listings-wi-fi-cpe-testing-and-support-engineer-infosys-limited-bangalore-bengaluru-5-to-7-years-130124906331,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Master Of Science, Bachelors of Science, Master Of Engineering, Master Of Technology, M...",LAW,Engineering services,Linux Administration,Team management,Networking,WAN,Software configuration management,VOIP,17 Days Ago
Python - Network Automation and CPE Tester,https://www.naukri.com/job-listings-python-network-automation-and-cpe-tester-infosys-limited-bangalore-bengaluru-2-to-3-years-130124906274,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Applications, Master Of Science, Master Of Technology, Master Of Engineering, Bachelor ...",Python,Wireless,Engineering services,network automation,Linux,Networking,VOIP,Routing,17 Days Ago
Technical Support Professional,https://www.naukri.com/job-listings-technical-support-professional-ibm-india-pvt-limited-kochi-cochin-bangalore-bengaluru-3-to-6-years-130124904867,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,3-6 Yrs,Not disclosed,"Kochi/Cochin, Bangalore/Bengaluru","Experience in customer support, software services or system administrationBUSINESS NETW...",Unix,system administration,Linux,Technical Support,customer,SAP BPC,Clouds,Docker,18 Days Ago
"Hardware Engineer, Automated Test Equipment",https://www.naukri.com/job-listings-hardware-engineer-automated-test-equipment-quest-global-bengaluru-4-to-6-years-130124005196,https://img.naukimg.com/logo_images/groups/v1/430014.gif,Quest Global,https://www.naukri.com/quest-global-jobs-careers-33042,https://www.ambitionbox.com/reviews/quest-global-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,1830  Reviews,4-6 Yrs,4-7 Lacs PA,Bengaluru,"Role & responsibilities  Automated Test Equipment, Circuit Analysis/Debugging Skills Go...",Test stand,Automated Test Equipment,Good knowledge in Instrumentation,Circuit Analysis/Debugging,NI LabVIEW,Instrumentation,Automation,Circuit Analysis,18 Days Ago
Software developer For EDA tools,https://www.naukri.com/job-listings-software-developer-for-eda-tools-ibm-india-pvt-limited-bangalore-bengaluru-8-to-10-years-120124910957,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise . 8-10 years of software experience Prefe...,Unix,C++,Linux,Perl,Python,VHDL,VLSI,EDA tools,18 Days Ago
Linux Administrator with Vmware,https://www.naukri.com/job-listings-linux-administrator-with-vmware-capgemini-technology-services-india-limited-bangalore-bengaluru-6-to-9-years-120124904300,https://www.naukri.com/hotjobs/images/v3/captech_jun20.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,Candidate should be a graduate with good communication and willingness to work in 24 x ...,Linux administration,Unix,Ubuntu,VMware,SAN,operational support,Solaris,NetBackup,19 Days Ago
